series,power_nominal_W,x_px,y_px,x0_px,x1_px,y0_px,y1_px,x_axis_min,x_axis_max,y_axis_min,y_axis_max,render_dpi,source_sha256
net_heat,0.25,432,2849,289,975,3017,2529,0,1.2,0,4.5,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
net_heat,0.50,575,2697,289,975,3017,2529,0,1.2,0,4.5,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
net_heat,0.75,718,2621,289,975,3017,2529,0,1.2,0,4.5,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
net_heat,1.00,861,2556,289,975,3017,2529,0,1.2,0,4.5,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
system_noise,0.25,432,2783,289,975,3017,2529,0,1.2,0,25,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
system_noise,0.50,575,2724,289,975,3017,2529,0,1.2,0,25,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
system_noise,0.75,718,2666,289,975,3017,2529,0,1.2,0,25,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
system_noise,1.00,861,2607,289,975,3017,2529,0,1.2,0,25,150,822fbb7e9735a5505734a291083fed7901c1fdfa01cb7de369679e4d41fd19bd
