figure_id,point_id,meaning,x_px,y_px,selection_uncertainty_px,evidence_class,allowed_use,forbidden_use
GEN1_TOP_RENDER_OBJECT_006,Q0,rear_left,318.0,53.0,3.0,I,projective_rectification_and_normalized_vent_comparison,manufacturing_tolerance_or_internal_cell_count
GEN1_TOP_RENDER_OBJECT_006,Q1,rear_right,538.0,172.0,3.0,I,projective_rectification_and_normalized_vent_comparison,manufacturing_tolerance_or_internal_cell_count
GEN1_TOP_RENDER_OBJECT_006,Q2,outlet_right,241.0,337.0,3.0,I,projective_rectification_and_normalized_vent_comparison,manufacturing_tolerance_or_internal_cell_count
GEN1_TOP_RENDER_OBJECT_006,Q3,outlet_left,22.0,221.0,3.0,I,projective_rectification_and_normalized_vent_comparison,manufacturing_tolerance_or_internal_cell_count
