view_id,feature_id,source_a_x_px,source_a_y_px,source_b_x_px,source_b_y_px,rectified_a_x_mm,rectified_a_y_mm,rectified_b_x_mm,rectified_b_y_mm,center_x_mm,center_y_mm,length_mm,mc_center_x_median_mm,mc_center_x_ci95_low_mm,mc_center_x_ci95_high_mm,mc_center_y_median_mm,mc_center_y_ci95_low_mm,mc_center_y_ci95_high_mm,mc_length_median_mm,mc_length_ci95_low_mm,mc_length_ci95_high_mm,evidence_class,allowed_use,forbidden_use
flow_636,V01,262.7,156.3,357.8,104.6,8.100,16.718,8.318,3.757,8.209,10.237,12.963,8.210,7.862,8.562,10.239,9.829,10.656,12.963,12.436,13.495,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
flow_636,V02,340.5,200.7,436.0,146.4,18.127,17.058,18.029,3.704,18.078,10.381,13.354,18.082,17.720,18.442,10.382,9.953,10.805,13.358,12.833,13.880,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
flow_636,V03,144.4,221.7,246.2,166.3,7.950,33.149,8.179,19.110,8.064,26.130,14.041,8.064,7.718,8.415,26.132,25.678,26.578,14.042,13.544,14.537,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
flow_636,V04,221.9,269.5,324.1,211.2,18.407,33.999,18.278,19.514,18.342,26.757,14.485,18.345,17.999,18.690,26.763,26.332,27.193,14.487,13.963,15.007,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
upper_547,V01,292.4,122.8,374.8,158.8,10.686,15.931,10.384,2.477,10.535,9.204,13.457,10.540,10.081,11.009,9.200,8.656,9.765,13.449,12.762,14.172,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
upper_547,V02,225.3,152.2,308.1,186.8,19.849,16.711,19.445,3.273,19.647,9.992,13.444,19.647,19.188,20.114,9.993,9.430,10.563,13.442,12.709,14.199,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
upper_547,V03,190.4,77.1,279.0,116.0,10.880,32.170,10.594,18.237,10.737,25.203,13.936,10.733,10.301,11.176,25.204,24.646,25.763,13.936,13.306,14.578,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
upper_547,V04,124.0,109.0,212.1,145.8,20.192,32.724,19.774,18.965,19.983,25.845,13.764,19.980,19.529,20.451,25.842,25.262,26.419,13.768,13.146,14.401,I,candidate top-cover vent placement and cross-view systematic-error estimate,"production inlet count, cell count, manufacturing tolerance, internal membrane geometry"
